ID azienda,Area of Activity,EMTAK Code,NACE Code,Source
366,Business and other management consultancy activities,70221 (EMTAK 2008),70.22,Electronic submission\n                                    (18.06.2021)\n                                    
369,Business and other management consultancy activities,70221 (EMTAK 2008),70.22,Annual report\n                                    (30.05.2022)\n                                    
371,"Data processing, hosting and related activities",63111 (EMTAK 2008),63.11,Electronic submission\n                                    (09.11.2022)\n                                    
372,Business and other management consultancy activities,70221 (EMTAK 2008),70.22,Annual report\n                                    (16.06.2022)\n                                    
373,Other human resources provision,78301 (EMTAK 2008),78.30,Electronic submission\n                                    (19.11.2020)\n                                    
375,"Leasing of intellectual property and similar products, except copyrighted works",77401 (EMTAK 2008),77.40,Electronic submission\n                                    (15.11.2018)\n                                    
376,Rental and leasing of cars and light motor vehicles,77111 (EMTAK 2008),77.11,Annual report\n                                    (14.11.2021)\n                                    
377,Engineering activities and related technical consultancy,7112 (EMTAK 2008),71.12,Annual report\n                                    (07.07.2022)\n                                    
378,Retail sale via mail order houses or via Internet,47911 (EMTAK 2008),47.91,Annual report\n                                    (16.05.2022)\n                                    
381,Computer programming activities,62011 (EMTAK 2008),62.01,Annual report\n                                    (23.02.2022)\n                                    
382,Other information technology and computer service activities,62091 (EMTAK 2008),62.09,Annual report\n                                    (21.09.2021)\n                                    
383,Rental and operating of own or leased real estate,68201 (EMTAK 2008),68.20,Annual report\n                                    (30.06.2022)\n                                    
387,Real estate agencies,68311 (EMTAK 2008),68.31,Annual report\n                                    (14.07.2022)\n                                    
388,Hotels,55101 (EMTAK 2008),55.10,Annual report\n                                    (01.07.2022)\n                                    
389,Web portals,63121 (EMTAK 2008),63.12,Electronic submission\n                                    (13.03.2018)\n                                    
390,"Restaurants, cafeterias and other catering places",56101 (EMTAK 2008),56.10,Electronic submission\n                                    (03.10.2017)\n                                    
392,Advertising agencies,73111 (EMTAK 2008),73.11,Electronic submission\n                                    (28.06.2022)\n                                    
393,Construction of residential and non-residential buildings,41201 (EMTAK 2008),41.20,Annual report\n                                    (05.12.2017)\n                                    
394,Specialised design activities,74101 (EMTAK 2008),74.10,Annual report\n                                    (24.07.2022)\n                                    
395,Computer programming activities,62011 (EMTAK 2008),62.01,Electronic submission\n                                    (15.04.2022)\n                                    
398,Support services to forestry,02401 (EMTAK 2008),02.40,Annual report\n                                    (17.06.2022)\n                                    
399,Installation of electrical wiring and fittings,43211 (EMTAK 2008),43.21,Annual report\n                                    (16.03.2022)\n                                    
403,Activities of amusement parks and theme parks,93211 (EMTAK 2008),93.21,Annual report\n                                    (03.04.2022)\n                                    
404,Rental and operating of own or leased real estate,68201 (EMTAK 2008),68.20,Annual report\n                                    (07.07.2022)\n                                    
406,Support services to forestry,02401 (EMTAK 2008),02.40,Annual report\n                                    (15.06.2022)\n                                    
407,Business and other management consultancy activities,70221 (EMTAK 2008),70.22,Annual report\n                                    (18.05.2022)\n                                    
410,Activities of sports clubs,93121 (EMTAK 2008),93.12,Annual report\n                                    (27.05.2021)\n                                    
412,"Production and presentation of live concerts, musical creation and other similar activities",90012 (EMTAK 2008),90.01,Annual report\n                                    (30.06.2022)\n                                    
415,"Other financial service activities, except insurance and pension funding n.e.c.",64991 (EMTAK 2008),64.99,Electronic submission\n                                    (28.12.2020)\n                                    
416,Construction of residential and non-residential buildings,41201 (EMTAK 2008),41.20,Annual report\n                                    (24.05.2021)\n                                    
417,Other information technology and computer service activities,62091 (EMTAK 2008),62.09,Annual report\n                                    (26.06.2022)\n                                    
418,Other amusement and recreation activities not classified elsewhere,93299 (EMTAK 2008),93.29,Electronic submission\n                                    (20.09.2017)\n                                    
419,Other education not classified elsewhere,85599 (EMTAK 2008),85.59,Annual report\n                                    (18.04.2022)\n                                    
421,"Ethnic minorities organisations and cultural societies, associations for the purpose of integrityand friendship between nations",94994 (EMTAK 2008),94.99,Electronic submission\n                                    (25.11.2021)\n                                    
423,Other amusement and recreation activities not classified elsewhere,93299 (EMTAK 2008),93.29,Annual report\n                                    (30.06.2021)\n                                    
424,Language training,85591 (EMTAK 2008),85.59,Annual report\n                                    (08.07.2022)\n                                    
425,Language training,85591 (EMTAK 2008),85.59,Electronic submission\n                                    (04.07.2022)\n                                    
426,Other business support service activities n.e.c.,82991 (EMTAK 2008),82.99,Annual report\n                                    (11.04.2022)\n                                    
427,Culture centres and community centres,93291 (EMTAK 2008),93.29,Annual report\n                                    (02.07.2022)\n                                    
429,"Restaurants, cafeterias and other catering places",56101 (EMTAK 2008),56.10,Annual report\n                                    (30.05.2022)\n                                    
430,Language training,85591 (EMTAK 2008),85.59,Annual report\n                                    (05.07.2022)\n                                    
431,Rental and operating of own or leased real estate,68201 (EMTAK 2008),68.20,Electronic submission\n                                    (01.04.2022)\n                                    
434,Rental and operating of own or leased real estate,68201 (EMTAK 2008),68.20,Annual report\n                                    (10.03.2022)\n                                    
437,"Installation of heating, ventilation and air conditioning equipment",43221 (EMTAK 2008),43.22,Annual report\n                                    (30.09.2022)\n                                    
438,Translation and interpretation activities,74301 (EMTAK 2008),74.30,Annual report\n                                    (29.03.2022)\n                                    
439,Manufacture of other special-purpose machinery n.e.c.,28991 (EMTAK 2008),28.99,Electronic submission\n                                    (19.02.2018)\n                                    
440,Other personal service activities n.e.c.,9609 (EMTAK 2008),96.09,Annual report\n                                    (24.08.2022)\n                                    
441,Combined facilities support activities,81101 (EMTAK 2008),81.10,Annual report\n                                    (10.03.2022)\n                                    
443,Landscape service activities,81301 (EMTAK 2008),81.30,Annual report\n                                    (10.08.2022)\n                                    
445,Other service activities,96099 (EMTAK 2008),96.09,Electronic submission\n                                    (20.10.2021)\n                                    
447,"Other retail sale not in stores, stalls or markets",47991 (EMTAK 2008),47.99,Annual report\n                                    (30.01.2022)\n                                    
448,Other information service activities n.e.c.,63991 (EMTAK 2008),63.99,Electronic submission\n                                    (23.08.2022)\n                                    
450,"Other retail sale not in stores, stalls or markets",47991 (EMTAK 2008),47.99,Annual report\n                                    (19.01.2018)\n                                    
451,Activities of amusement parks and theme parks,93211 (EMTAK 2008),93.21,Electronic submission\n                                    (18.08.2021)\n                                    
453,Raising of other cattle and buffaloes,01421 (EMTAK 2008),01.42,Annual report\n                                    (16.03.2022)\n                                    
454,Freight transport by road,49411 (EMTAK 2008),49.41,Annual report\n                                    (30.06.2022)\n                                    
456,Buying and selling of own real estate,68101 (EMTAK 2008),68.10,Annual report\n                                    (19.05.2012)\n                                    
458,Hairdressing and other beauty treatment,96021 (EMTAK 2008),96.02,Annual report\n                                    (02.02.2022)\n                                    
459,Specialised design activities,74101 (EMTAK 2008),74.10,Annual report\n                                    (02.07.2022)\n                                    
460,Museums activities,91021 (EMTAK 2008),91.02,Electronic submission\n                                    (19.04.2021)\n                                    
461,Other business support service activities n.e.c.,82991 (EMTAK 2008),82.99,Annual report\n                                    (31.07.2022)\n                                    
462,Non-specialised wholesale trade,46901 (EMTAK 2008),46.90,Annual report\n                                    (08.04.2022)\n                                    
463,Car washing and other services,45202 (EMTAK 2008),45.20,Annual report\n                                    (16.07.2022)\n                                    
465,Installation of fire and burglar alarm systems,43212 (EMTAK 2008),43.21,Annual report\n                                    (28.06.2012)\n                                    
467,Computer programming activities,62011 (EMTAK 2008),62.01,Annual report\n                                    (30.06.2022)\n                                    
468,Computer consultancy activities,62021 (EMTAK 2008),62.02,Annual report\n                                    (15.02.2022)\n                                    
469,"Other retail sale not in stores, stalls or markets",47991 (EMTAK 2008),47.99,Annual report\n                                    (15.09.2022)\n                                    
470,Other information technology and computer service activities,62091 (EMTAK 2008),62.09,Annual report\n                                    (01.07.2018)\n                                    
472,"Bookkeeping, tax consulting",69202 (EMTAK 2008),69.20,Annual report\n                                    (30.08.2021)\n                                    
474,Pre\xe2\x88\x92press and pre\xe2\x88\x92media services,18131 (EMTAK 2008),18.13,Annual report\n                                    (30.06.2022)\n                                    
475,Constructional engineering-technical designing and consulting,71121 (EMTAK 2008),71.12,Annual report\n                                    (29.06.2010)\n                                    
476,Computer consultancy activities,62021 (EMTAK 2008),62.02,Annual report\n                                    (30.06.2022)\n                                    
477,Hairdressing and other beauty treatment,96021 (EMTAK 2008),96.02,Annual report\n                                    (06.03.2018)\n                                    
480,Electrical installation,4321 (EMTAK 2008),43.21,Electronic submission\n                                    (02.12.2009)\n                                    
481,Sale of cars and light motor vehicles,45111 (EMTAK 2008),45.11,Annual report\n                                    (20.07.2022)\n                                    
482,Other business support service activities n.e.c.,82991 (EMTAK 2008),82.99,Electronic submission\n                                    (06.12.2022)\n                                    
483,Other engineering-technical activities,71129 (EMTAK 2008),71.12,Electronic submission\n                                    (07.11.2022)\n                                    
484,Rental and operating of own or leased real estate,68201 (EMTAK 2008),68.20,Annual report\n                                    (23.05.2022)\n                                    
486,Passenger air transport,51101 (EMTAK 2008),51.10,Annual report\n                                    (06.08.2020)\n                                    
487,"Activities of saunas, sunbeds and massage salons and other services related to physical well-being",96041 (EMTAK 2008),96.04,Annual report\n                                    (30.06.2022)\n                                    
488,Sports and recreation education,8551 (EMTAK 2008),85.51,Annual report\n                                    (03.04.2022)\n                                    
490,Other manufacturing n.e.c.,32991 (EMTAK 2008),32.99,Annual report\n                                    (20.05.2022)\n                                    
492,Business and other management consultancy activities,70221 (EMTAK 2008),70.22,Annual report\n                                    (30.06.2022)\n                                    
495,Wholesale of medical appliances and surgical and orthopaedic instruments and devices,46462 (EMTAK 2008),46.46,Annual report\n                                    (26.08.2022)\n                                    
496,Associations and foundations for the purpose of regional/local life development and support,94992 (EMTAK 2008),94.99,Annual report\n                                    (30.06.2022)\n                                    
497,Activities of amusement parks and theme parks,93211 (EMTAK 2008),93.21,Annual report\n                                    (18.01.2022)\n                                    
498,Other education not classified elsewhere,85599 (EMTAK 2008),85.59,Annual report\n                                    (15.06.2022)\n                                    
499,Educational support activities,85601 (EMTAK 2008),85.60,Electronic submission\n                                    (02.02.2010)\n                                    
501,"Motion picture, video and television programme production activities",5911 (EMTAK 2008),59.11,Electronic submission\n                                    (10.09.2018)\n                                    
502,Hairdressing and other beauty treatment,96021 (EMTAK 2008),96.02,Annual report\n                                    (27.02.2017)\n                                    
503,Non-specialised wholesale trade,46901 (EMTAK 2008),46.90,Annual report\n                                    (30.06.2021)\n                                    
504,Artistic creation,90031 (EMTAK 2008),90.03,Annual report\n                                    (29.06.2022)\n                                    
506,Wholesale trade of motor vehicle parts and accessories,45311 (EMTAK 2008),45.31,Electronic submission\n                                    (24.11.2022)\n                                    
515,Business and other management consultancy activities,70221 (EMTAK 2008),70.22,Annual report\n                                    (08.04.2022)\n                                    
518,Other personal service activities n.e.c.,9609 (EMTAK 2008),96.09,Annual report\n                                    (28.06.2022)\n                                    
521,"Production and presentation of live concerts, musical creation and other similar activities",90012 (EMTAK 2008),90.01,Electronic submission\n                                    (25.07.2017)\n                                    
522,Activities of sports clubs,93121 (EMTAK 2008),93.12,Annual report\n                                    (30.06.2018)\n                                    
526,Production of electricity,3511 (EMTAK 2008),35.11,Electronic submission\n                                    (30.09.2020)\n                                    
527,Logging,0220 (EMTAK 2008),02.20,Annual report\n                                    (16.06.2022)\n                                    
528,Other construction installation,4329 (EMTAK 2008),43.29,Annual report\n                                    (10.10.2022)\n                                    
529,Business and other management consultancy activities,70221 (EMTAK 2008),70.22,Annual report\n                                    (30.06.2022)\n                                    
530,Veterinary activities,75001 (EMTAK 2008),75.00,Annual report\n                                    (12.06.2022)\n                                    
532,"Motion picture, video and television programme production activities",5911 (EMTAK 2008),59.11,Annual report\n                                    (12.09.2022)\n                                    
533,Support activities for crop production,01611 (EMTAK 2008),01.61,Annual report\n                                    (28.06.2022)\n                                    
535,Other passenger land transport n.e.c.,4939 (EMTAK 2008),49.39,Electronic submission\n                                    (23.07.2009)\n                                    
536,"Growing of cereals (except rice), leguminous crops and oil seeds",01111 (EMTAK 2008),01.11,Electronic submission\n                                    (11.06.2013)\n                                    
538,"Production and presentation of live concerts, musical creation and other similar activities",90012 (EMTAK 2008),90.01,Electronic submission\n                                    (03.08.2015)\n                                    
541,Retail sale via mail order houses or via Internet,47911 (EMTAK 2008),47.91,Annual report\n                                    (19.04.2022)\n                                    
543,Other cleaning activities of buildings and industrial cleaning,81221 (EMTAK 2008),81.22,Annual report\n                                    (14.07.2019)\n                                    
544,"Other professional, scientific and technical activities n.e.c.",74901 (EMTAK 2008),74.90,Electronic submission\n                                    (24.04.2019)\n                                    
547,Business and other management consultancy activities,70221 (EMTAK 2008),70.22,Electronic submission\n                                    (28.02.2022)\n                                    
549,Other amusement and recreation activities,9329 (EMTAK 2008),93.29,Electronic submission\n                                    (20.07.2022)\n                                    
550,Photographic activities,74201 (EMTAK 2008),74.20,Electronic submission\n                                    (28.08.2022)\n                                    
553,"Other retail sale not in stores, stalls or markets",47991 (EMTAK 2008),47.99,Electronic submission\n                                    (12.05.2020)\n                                    
555,Mixed farming,01501 (EMTAK 2008),01.50,Electronic submission\n                                    (04.08.2009)\n                                    
559,Computer programming activities,62011 (EMTAK 2008),62.01,Annual report\n                                    (04.05.2022)\n                                    
568,Other specialised construction activities n.e.c.,4399 (EMTAK 2008),43.99,Electronic submission\n                                    (03.01.2017)\n                                    
572,"Production and presentation of live concerts, musical creation and other similar activities",90012 (EMTAK 2008),90.01,Annual report\n                                    (25.05.2020)\n                                    
573,Mixed farming,01501 (EMTAK 2008),01.50,The undertaking notified himself/herself\n                                    (14.10.2009)\n                                    
575,Taxi operation,49321 (EMTAK 2008),49.32,Electronic submission\n                                    (06.04.2022)\n                                    
576,"Installation of heating, ventilation and air conditioning equipment",43221 (EMTAK 2008),43.22,Annual report\n                                    (14.10.2022)\n                                    
577,Non-specialised wholesale trade,46901 (EMTAK 2008),46.90,Annual report\n                                    (28.07.2022)\n                                    
579,Construction of residential and non-residential buildings,41201 (EMTAK 2008),41.20,Electronic submission\n                                    (20.01.2020)\n                                    
580,Retail sale via mail order houses or via Internet,47911 (EMTAK 2008),47.91,Electronic submission\n                                    (15.03.2022)\n                                    
582,"Activities of saunas, sunbeds and massage salons and other services related to physical well-being",96041 (EMTAK 2008),96.04,Annual report\n                                    (30.06.2022)\n                                    
583,Car washing and other services,45202 (EMTAK 2008),45.20,Annual report\n                                    (09.07.2022)\n                                    
584,Retail sale via mail order houses or via Internet,47911 (EMTAK 2008),47.91,Annual report\n                                    (29.03.2022)\n                                    
588,Retail sale via mail order houses or via Internet,47911 (EMTAK 2008),47.91,Annual report\n                                    (11.04.2022)\n                                    
589,Wholesale of equipment used in food industry and commercial activities,46693 (EMTAK 2008),46.69,Annual report\n                                    (19.06.2018)\n                                    
591,Other amusement and recreation activities,9329 (EMTAK 2008),93.29,Annual report\n                                    (08.02.2022)\n                                    
593,"Bookkeeping, tax consulting",69202 (EMTAK 2008),69.20,Annual report\n                                    (01.03.2018)\n                                    
594,Activities of insurance agents and brokers,66221 (EMTAK 2008),66.22,Annual report\n                                    (12.10.2022)\n                                    
595,Wholesale of sanitary equipment and other construction materials,46732 (EMTAK 2008),46.73,Annual report\n                                    (28.01.2022)\n                                    
596,"Wholesale of wood, construction materials and sanitary equipment",4673 (EMTAK 2008),46.73,Annual report\n                                    (11.03.2022)\n                                    
597,Rental and operating of own or leased real estate,68201 (EMTAK 2008),68.20,Electronic submission\n                                    (09.12.2021)\n                                    
598,Other business support service activities n.e.c.,82991 (EMTAK 2008),82.99,Annual report\n                                    (22.06.2018)\n                                    
601,"Other activities auxiliary to financial services, except insurance and pension funding",6619 (EMTAK 2008),66.19,Annual report\n                                    (30.06.2022)\n                                    
602,Construction of residential and non-residential buildings,41201 (EMTAK 2008),41.20,Annual report\n                                    (01.08.2022)\n                                    
603,Installation of plumbing and sanitary equipment,43222 (EMTAK 2008),43.22,Annual report\n                                    (29.06.2022)\n                                    
604,Pet care services,96091 (EMTAK 2008),96.09,Annual report\n                                    (25.06.2022)\n                                    
605,Other business support service activities n.e.c.,82991 (EMTAK 2008),82.99,Electronic submission\n                                    (14.07.2021)\n                                    
606,Real estate agencies,68311 (EMTAK 2008),68.31,Annual report\n                                    (21.03.2022)\n                                    
607,Removal services,49421 (EMTAK 2008),49.42,Annual report\n                                    (30.06.2022)\n                                    
609,Other education not classified elsewhere,85599 (EMTAK 2008),85.59,Annual report\n                                    (26.10.2021)\n                                    
610,General cleaning of buildings,81211 (EMTAK 2008),81.21,Electronic submission\n                                    (14.03.2022)\n                                    
612,Combined facilities support activities,81101 (EMTAK 2008),81.10,Annual report\n                                    (20.06.2022)\n                                    
614,Other information technology and computer service activities,62091 (EMTAK 2008),62.09,Annual report\n                                    (29.06.2022)\n                                    
615,Manufacture of other metal structures and parts of structures,25119 (EMTAK 2008),25.11,Annual report\n                                    (17.01.2022)\n                                    
616,Activities of amusement parks and theme parks,93211 (EMTAK 2008),93.21,Annual report\n                                    (02.11.2022)\n                                    
620,Freight transport by road,49411 (EMTAK 2008),49.41,Annual report\n                                    (26.04.2018)\n                                    
621,"Associations and social clubs related to recreational activities, entertainment, cultural activities or hobbies",94995 (EMTAK 2008),94.99,Electronic submission\n                                    (28.10.2020)\n                                    
623,Construction of other civil engineering projects n.e.c.,42991 (EMTAK 2008),42.99,Annual report\n                                    (06.07.2022)\n                                    
624,Raising of horses and other equines,01431 (EMTAK 2008),01.43,Annual report\n                                    (23.03.2022)\n                                    
625,"Activities of saunas, sunbeds and massage salons and other services related to physical well-being",96041 (EMTAK 2008),96.04,Electronic submission\n                                    (02.11.2022)\n                                    
629,Other personal service activities n.e.c.,9609 (EMTAK 2008),96.09,Annual report\n                                    (20.04.2021)\n                                    
630,Other personal service activities n.e.c.,9609 (EMTAK 2008),96.09,Electronic submission\n                                    (15.06.2018)\n                                    
632,Activities of sports clubs,93121 (EMTAK 2008),93.12,Annual report\n                                    (15.07.2022)\n                                    
633,Hotels,55101 (EMTAK 2008),55.10,Annual report\n                                    (30.06.2022)\n                                    
635,Rental and operating of own or leased real estate,68201 (EMTAK 2008),68.20,Annual report\n                                    (30.06.2022)\n                                    
639,Language training,85591 (EMTAK 2008),85.59,Electronic submission\n                                    (04.08.2022)\n                                    
641,"Bookkeeping, tax consulting",69202 (EMTAK 2008),69.20,Annual report\n                                    (26.06.2022)\n                                    
642,Real estate agencies,68311 (EMTAK 2008),68.31,Annual report\n                                    (03.11.2021)\n                                    
643,"Activities of saunas, sunbeds and massage salons and other services related to physical well-being",96041 (EMTAK 2008),96.04,Electronic submission\n                                    (13.07.2021)\n                                    
644,Computer programming activities,62011 (EMTAK 2008),62.01,Annual report\n                                    (07.04.2022)\n                                    
645,Other information technology and computer service activities,62091 (EMTAK 2008),62.09,Electronic submission\n                                    (15.02.2021)\n                                    
646,Artistic creation,90031 (EMTAK 2008),90.03,Electronic submission\n                                    (16.08.2021)\n                                    
647,Advertising agencies,73111 (EMTAK 2008),73.11,Annual report\n                                    (07.07.2022)\n                                    
649,Rental and operating of own or leased real estate,68201 (EMTAK 2008),68.20,Electronic submission\n                                    (11.11.2021)\n                                    
650,Computer consultancy activities,62021 (EMTAK 2008),62.02,Annual report\n                                    (21.02.2022)\n                                    
651,Construction of residential and non-residential buildings,41201 (EMTAK 2008),41.20,Electronic submission\n                                    (09.09.2016)\n                                    
652,Other research and experimental development on natural sciences and engineering,72191 (EMTAK 2008),72.19,Annual report\n                                    (28.07.2022)\n                                    
653,"Bookkeeping, tax consulting",69202 (EMTAK 2008),69.20,Electronic submission\n                                    (02.03.2021)\n                                    
654,"Other professional, scientific and technical activities n.e.c.",74901 (EMTAK 2008),74.90,Annual report\n                                    (16.07.2017)\n                                    
655,Rental and operating of own or leased real estate,68201 (EMTAK 2008),68.20,Electronic submission\n                                    (23.11.2021)\n                                    
656,Manufacture of office and shop furniture,31011 (EMTAK 2008),31.01,Electronic submission\n                                    (11.12.2018)\n                                    
658,Wholesale of perfume and cosmetics,46451 (EMTAK 2008),46.45,Annual report\n                                    (03.07.2022)\n                                    
660,Real estate agencies,68311 (EMTAK 2008),68.31,Annual report\n                                    (18.04.2022)\n                                    
661,General cleaning of buildings,81211 (EMTAK 2008),81.21,Annual report\n                                    (30.06.2022)\n                                    
662,Other information technology and computer service activities,62091 (EMTAK 2008),62.09,Annual report\n                                    (03.07.2022)\n                                    
663,Buying and selling of own real estate,68101 (EMTAK 2008),68.10,Electronic submission\n                                    (02.11.2017)\n                                    
664,Agents involved in the sale of a variety of goods,46191 (EMTAK 2008),46.19,Annual report\n                                    (29.04.2020)\n                                    
666,Construction of residential and non-residential buildings,41201 (EMTAK 2008),41.20,Annual report\n                                    (04.07.2022)\n                                    
668,Computer programming activities,62011 (EMTAK 2008),62.01,Electronic submission\n                                    (22.07.2022)\n                                    
669,Satellite communication services,61301 (EMTAK 2008),61.30,Electronic submission\n                                    (07.01.2022)\n                                    
670,"Activities of saunas, sunbeds and massage salons and other services related to physical well-being",96041 (EMTAK 2008),96.04,Electronic submission\n                                    (09.11.2021)\n                                    
671,"Restaurants, cafeterias and other catering places",56101 (EMTAK 2008),56.10,Annual report\n                                    (17.05.2018)\n                                    
672,Business and other management consultancy activities,70221 (EMTAK 2008),70.22,Annual report\n                                    (31.03.2022)\n                                    
673,Construction of residential and non-residential buildings,41201 (EMTAK 2008),41.20,Annual report\n                                    (07.01.2022)\n                                    
674,Constructional engineering-technical designing and consulting,71121 (EMTAK 2008),71.12,Annual report\n                                    (25.02.2022)\n                                    
676,Computer programming activities,62011 (EMTAK 2008),62.01,Electronic submission\n                                    (21.10.2021)\n                                    
678,Bed-and-breakfast,55205 (EMTAK 2008),55.20,Annual report\n                                    (24.11.2022)\n                                    
679,Hairdressing and other beauty treatment,96021 (EMTAK 2008),96.02,Electronic submission\n                                    (29.12.2020)\n                                    
680,Business and other management consultancy activities,70221 (EMTAK 2008),70.22,Electronic submission\n                                    (23.12.2019)\n                                    
681,Other personal service activities n.e.c.,9609 (EMTAK 2008),96.09,Electronic submission\n                                    (12.12.2017)\n                                    
682,Computer programming activities,62011 (EMTAK 2008),62.01,Electronic submission\n                                    (17.01.2019)\n                                    
683,Marine fishing,03111 (EMTAK 2008),03.11,Field of activity code data encoding by RIK\n                                    (16.01.2001)\n                                    
684,Other information technology and computer service activities,62091 (EMTAK 2008),62.09,Electronic submission\n                                    (28.06.2018)\n                                    
686,Music and art education,85521 (EMTAK 2008),85.52,Electronic submission\n                                    (16.09.2018)\n                                    
687,Production of television programmes,59112 (EMTAK 2008),59.11,Annual report\n                                    (19.10.2020)\n                                    
689,Business and other management consultancy activities,70221 (EMTAK 2008),70.22,Electronic submission\n                                    (16.06.2022)\n                                    
690,Other business support service activities n.e.c.,82991 (EMTAK 2008),82.99,Electronic submission\n                                    (31.12.2021)\n                                    
691,"Activities of saunas, sunbeds and massage salons and other services related to physical well-being",96041 (EMTAK 2008),96.04,Annual report\n                                    (30.06.2022)\n                                    
692,Media representation,73121 (EMTAK 2008),73.12,Annual report\n                                    (17.01.2022)\n                                    
694,Specialised design activities,74101 (EMTAK 2008),74.10,Annual report\n                                    (26.09.2022)\n                                    
695,Provision of specialised medical treatment,86221 (EMTAK 2008),86.22,Annual report\n                                    (18.01.2022)\n                                    
697,Artistic creation,90031 (EMTAK 2008),90.03,Electronic submission\n                                    (30.11.2021)\n                                    
700,Support services to forestry,02401 (EMTAK 2008),02.40,Electronic submission\n                                    (21.10.2022)\n                                    
702,"Agents involved in the sale of food, beverages and tobacco",46171 (EMTAK 2008),46.17,Annual report\n                                    (29.06.2017)\n                                    
703,"Restaurants, cafeterias and other catering places",56101 (EMTAK 2008),56.10,Electronic submission\n                                    (29.10.2018)\n                                    
704,Business and other management consultancy activities,70221 (EMTAK 2008),70.22,Electronic submission\n                                    (22.09.2022)\n                                    
705,Activities of holding companies,64201 (EMTAK 2008),64.20,Electronic submission\n                                    (17.12.2021)\n                                    
706,Computer programming activities,62011 (EMTAK 2008),62.01,Annual report\n                                    (14.10.2022)\n                                    
707,Other retail sale in non-specialised stores,47191 (EMTAK 2008),47.19,Annual report\n                                    (22.06.2022)\n                                    
708,Computer programming activities,62011 (EMTAK 2008),62.01,Electronic submission\n                                    (16.04.2020)\n                                    
709,Business and other management consultancy activities,70221 (EMTAK 2008),70.22,Annual report\n                                    (27.12.2018)\n                                    
710,Other business support service activities n.e.c.,82991 (EMTAK 2008),82.99,Electronic submission\n                                    (22.12.2021)\n                                    
711,Hairdressing and other beauty treatment,96021 (EMTAK 2008),96.02,Annual report\n                                    (23.02.2022)\n                                    
713,Other business support service activities n.e.c.,82991 (EMTAK 2008),82.99,Electronic submission\n                                    (02.04.2015)\n                                    
714,Other manufacturing n.e.c.,32991 (EMTAK 2008),32.99,Annual report\n                                    (11.06.2021)\n                                    
715,Architectural activities,71111 (EMTAK 2008),71.11,Annual report\n                                    (30.06.2022)\n                                    
716,Retail sale via mail order houses or via Internet,47911 (EMTAK 2008),47.91,Annual report\n                                    (12.11.2021)\n                                    
717,"Growing of vegetables (including gourds), roots and tubers, including mushrooms",01131 (EMTAK 2008),01.13,Annual report\n                                    (16.06.2022)\n                                    
718,"Growing of vegetables (including gourds), roots and tubers, including mushrooms",01131 (EMTAK 2008),01.13,Annual report\n                                    (25.06.2022)\n                                    
719,Development of building projects,41101 (EMTAK 2008),41.10,Electronic submission\n                                    (24.09.2021)\n                                    
720,Other service activities,96099 (EMTAK 2008),96.09,Annual report\n                                    (10.06.2021)\n                                    
722,Computer programming activities,62011 (EMTAK 2008),62.01,Electronic submission\n                                    (15.02.2022)\n                                    
723,"Other financial service activities, except insurance and pension funding n.e.c.",6499 (EMTAK 2008),64.99,Annual report\n                                    (30.06.2022)\n                                    
724,Construction of residential and non-residential buildings,41201 (EMTAK 2008),41.20,Annual report\n                                    (24.08.2022)\n                                    
725,Buying and selling of own real estate,68101 (EMTAK 2008),68.10,Electronic submission\n                                    (26.02.2015)\n                                    
726,Non-specialised wholesale trade,46901 (EMTAK 2008),46.90,Annual report\n                                    (27.12.2019)\n                                    
727,Car washing and other services,45202 (EMTAK 2008),45.20,Annual report\n                                    (23.05.2022)\n                                    
728,"Other retail sale not in stores, stalls or markets",47991 (EMTAK 2008),47.99,Electronic submission\n                                    (02.10.2020)\n                                    
731,Performing arts,9001 (EMTAK 2008),90.01,Annual report\n                                    (29.12.2021)\n                                    
732,Buying and selling of own real estate,68101 (EMTAK 2008),68.10,Electronic submission\n                                    (29.11.2021)\n                                    
733,Other amusement and recreation activities not classified elsewhere,93299 (EMTAK 2008),93.29,Annual report\n                                    (17.06.2022)\n                                    
735,"Other retail sale not in stores, stalls or markets",47991 (EMTAK 2008),47.99,Annual report\n                                    (30.06.2022)\n                                    
736,Buying and selling of own real estate,68101 (EMTAK 2008),68.10,Electronic submission\n                                    (05.05.2021)\n                                    
737,Activities of other business and employers organisations,94119 (EMTAK 2008),94.11,Annual report\n                                    (29.06.2022)\n                                    
738,Buying and selling of own real estate,68101 (EMTAK 2008),68.10,Annual report\n                                    (19.06.2021)\n                                    
742,"Other professional, scientific and technical activities n.e.c.",74901 (EMTAK 2008),74.90,Annual report\n                                    (13.11.2019)\n                                    
743,Computer programming activities,62011 (EMTAK 2008),62.01,Annual report\n                                    (30.06.2022)\n                                    
744,Hotels,55101 (EMTAK 2008),55.10,Electronic submission\n                                    (19.08.2016)\n                                    
746,Hairdressing and other beauty treatment,96021 (EMTAK 2008),96.02,Electronic submission\n                                    (04.02.2009)\n                                    
747,Other business support service activities n.e.c.,82991 (EMTAK 2008),82.99,Annual report\n                                    (29.09.2022)\n                                    
748,Removal services,4942 (EMTAK 2008),49.42,Annual report\n                                    (05.04.2022)\n                                    
749,Computer programming activities,62011 (EMTAK 2008),62.01,Annual report\n                                    (06.07.2019)\n                                    
751,Computer programming activities,62011 (EMTAK 2008),62.01,Electronic submission\n                                    (25.09.2012)\n                                    
